name,address,type,description,image_url
"""Columbus High School""","1700 Cherokee Ave, Columbus, GA 31906",School,"Columbus High School is my alma matar and is a highly regarded public magnet school known for strong academics and arts programs, usually ranking in the top 3 public schools in the state. Located only a 2 minute walk from my house, I have many fond memories here and can agree that it is the best high school in the city!",https://imagescdn.homes.com/i2/EB5lpTBKd2E2o9WNqc1tCBc1f1yB46qu3W3SAlJKCN0/114/columbus-high-school-columbus-ga-primaryphoto.jpg?p=1
"""El Carrizo""","3747 Macon Rd, Columbus, GA 31907",restaurant ,"Although it may seem like any other Mexican restaurant, El Carrizo is a longtime local favorite of many Columbus residents. Families will go here to enjoy a comfort meal or maybe even for a casual celebration. Regardless, you are bound to see someone you know, no matter the day or time. I highly recommend the beef tacos or quesadillas!",https://www.elcarrizocolumbusga.com/_next/image?url=%2Fimages%2Felcarrizo%2Frestaurant%2Fmacon.jpeg&w=3840&q=75 
"""Whitewater Express""","1000 Bay Ave, Columbus, GA 31901",activity,"If you are up for an adventure, this is the place to go! This outfitter helps visitors experience Columbus’s biggest attraction: the Chattahoochee River’s world-class urban whitewater course. It represents the city’s transformation into an outdoor adventure destination.",https://www.exploregeorgia.org/sites/default/files/2023-11/rafting-columbus-whitewater-express-bridge-credit-gcalebjones.jpg
"""Art of Yoga""","4924 Armour Rd, Columbus, GA 31904",exercise,"This yoga studio is a favorite of mine because of its welcoming and homey nature. Art of Yoga offers yoga classes focused on community, mindfulness, and balance. Come here to relax, rejuvinate, and get your sweat on!",https://www.artofyogacolumbusga.com/uploads/1/2/3/5/123568784/new-team-pic_orig.png 
"""Dinglewood Pharmacy""","1939 Wynnton Rd, Columbus, GA 31906",restaurant ,"More than a pharmacy, this iconic spot is famous for inventing the “Scrambled Dog,” a legendary Southern hot dog. It’s a quirky local institution that blends small-town charm with food history. What's so special about this place is that different generations can share it together. You are likely to see groups of teens, millenials, and  boomers alike all eating here together sharing a famous scrambled dog!",https://marieletseat.com/wp-content/uploads/2010/09/106-dp-02.jpg
"""Park Place Interiors""","1817 Garrard St, Columbus, GA 31901",store,Welcome to my first place of work! This is a locally owned design shop that showcases Columbus’s appreciation for Southern style and home decor. It highlights the city’s strong culture of locally supported businesses and interior design,https://files.constantcontact.com/ea69da79001/0f624cff-fcf1-415a-b06f-04902ff571e9.jpg 
"""Springer Opera House""","103 10th St, Columbus, GA 31901",activity,"Known as the “State Theatre of Georgia,” the Springer Opera House has hosted performances since the 1870s. It anchors downtown’s arts scene and connects modern Columbus to its historic roots. Every year at Christmastime, my whole family takes a trip here to  watch the current show. It is also said that the Springer is home to some ghosts, so if you're interested, you should read up on some of the haunted tales!",https://visitcolumbusga.com/assets/uploads/business/Greg_Comstock_-_Springer_Opera_House-6.jpg 
"""National Infantry Museum""","1775 Legacy Way, Columbus, GA 31903",activity,"Fun fact, Columbus is home  Fort Benning, a massive US Army post supporting more than 120,000 soldiers. The Infantry Museum is one of the top military museums in the country, this site honors U.S. Army infantry soldiers and sits near Fort Benning. It reflects the deep military heritage that shapes much of Columbus’s identity.",https://visitcolumbusga.com/assets/uploads/business/military_museum_1.jpg 
"""Columbus Civic Center""","400 4th St, Columbus, GA 31901",sports,"A major event venue hosting concerts, hockey games, graduations, and community events year-round. It serves as one of the city’s central gathering places for entertainment and large celebrations. To highlight the Civic Center's range of activities even more, let it be known that I had my high school graduation ceremony here, have attended concerts here, and have even been to a few hockey games here.",https://s1.ticketm.net/dam/v/d3f/8a195ff9-be01-420e-a318-6a5226df8d3f_526331_SOURCE.jpg 
"""Country's BBQ""","1329 Broadway, Columbus, GA 31901",restaurant ,"A classic local barbecue chain beloved for its laid-back vibe and Southern comfort food. Eating here feels like participating in a long-standing Columbus tradition. Fun fact, my sister worked here during her time in high school!",https://roadfood.com/wp-content/uploads/2016/03/rfl_4847.jpg 
"""Calloway Gardens""","17617 US Highway 27, Pine Mountain, GA 31822",activity,"Located just outside Columbus, this scenic retreat features seasonal festivals, biking trails, and beautiful gardens. It’s a favorite weekend escape for locals seeking nature and relaxation. One of my favorite times to visit Callaway Gardens is during Christmas because they have the most spectacular Christmas lights.",https://greatruns.com/wp-content/uploads/2021/11/Callaway-Gardens-Flickr-JR-P.jpg 
"""Jarfly""","1358 13th St, Columbus, GA 31901",restaurant ,"This trendy neighborhood restaurant located in Midtown Columbus is known for creative comfort food and a modern, social atmosphere. It represents the newer wave of dining helping revitalize Columbus’s food scene. I have many memories of going here with my lacrosse teams after games, or for a  fun meal with my family as it is walking distance from our house.",https://visitcolumbusga.com/assets/uploads/general/jarfly.jpg
"""Ironbank Coffee Co""","6 11th St, Columbus, GA 31901",restaurant ,"Housed in a historic former bank building, this coffee shop blends great coffee with striking architecture. It’s a popular downtown meeting spot for students, professionals, and visitors exploring the city.",https://visitcolumbusga.com/assets/uploads/blog/Iron_Bank_Reduced.jpg
